[2026-01-26 15:42:51,175][asyncio][DEBUG] - Using selector: EpollSelector
[2026-01-26 15:43:05,810][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,810][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,810][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,810][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/home/md-ether/isaac51/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansTelugu-ExtraCondensedMedium.ttf', name='Noto Sans Telugu', style='normal', variant='normal', weight=500, stretch='condensed', size='scalable')) = 10.344999999999999
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansSinhala-CondensedExtraBold.ttf', name='Noto Sans Sinhala', style='normal', variant='normal', weight=800, stretch='condensed', size='scalable')) = 10.629999999999999
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSerif-ExtraCondensedSemiBold.ttf', name='Noto Serif', style='normal', variant='normal', weight=600, stretch='condensed', size='scalable')) = 10.44
[2026-01-26 15:43:05,811][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoLoopedLao-ExtraBold.ttf', name='Noto Looped Lao', style='normal', variant='normal', weight=800, stretch='normal', size='scalable')) = 10.43
[2026-01-26 15:43:05,812][matplotlib.font_manager][DEBUG] - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansKannada-ExtraLight.ttf', name='Noto Sans Kannada', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
